old_id,id_x,truth,premise,hypothesis,true_premise_amr,hand_hypothesis_amr,raw_pred_gpt4,gpt3_amr,okay,id
ldc_dfb_training_00315,ldc_slang_000,1,You just made that up to change the subject because you knew the liberals were losing in this thread (as usual) and you had to change the subject.,You just made that up to change the subject because you knew the liberals were losing in this discussion (as usual) and you had to change the subject.,"(c / cause-01
      :ARG0 (a / and
            :op1 (k / know-01
                  :ARG0 y
                  :ARG1 (l / lose-03
                        :ARG0 (p2 / person
                              :ARG1-of (l2 / liberal-02))
                        :location (t4 / thread
                              :mod (t5 / this))
                        :mod (a2 / as-usual)))
            :op2 (o / obligate-01
                  :ARG1 y
                  :ARG2 c2))
      :ARG1 (m / make-up-10
            :ARG0 (y / you)
            :ARG1 (t3 / that)
            :mod (j / just)
            :purpose (c2 / change-01
                  :ARG0 y
                  :ARG1 (s / subject))))
","(c / cause-01
      :ARG0 (a / and
            :op1 (k / know-01
                  :ARG0 y
                  :ARG1 (l / lose-03
                        :ARG0 (p2 / person
                              :ARG1-of (l2 / liberal-02))
                        :location (d / discussion
                              :mod (t5 / this))
                        :mod (a2 / as-usual)))
            :op2 (o / obligate-01
                  :ARG1 y
                  :ARG2 c2))
      :ARG1 (m / make-up-10
            :ARG0 (y / you)
            :ARG1 (t3 / that)
            :mod (j / just)
            :purpose (c2 / change-01
                  :ARG0 y
                  :ARG1 (s / subject))))","(c / cause-01
      :ARG0 (a / and
            :op1 (k / know-01
                  :ARG0 y
                  :ARG1 (l / lose-03
                        :ARG0 (p2 / person
                              :ARG1-of (l2 / liberal-02))
                        :location (d / discussion
                              :mod (t5 / this))
                        :mod (a2 / as-usual)))
            :op2 (o / obligate-01
                  :ARG1 y
                  :ARG2 c2))
      :ARG1 (m / make-up-10
            :ARG0 (y / you)
            :ARG1 (t3 / that)
            :mod (j / just)
            :purpose (c2 / change-01
                  :ARG0 y
                  :ARG1 (s / subject))))","(c / cause-01
      :ARG0 (a / and
            :op1 (k / know-01
                  :ARG0 y
                  :ARG1 (l / lose-03
                        :ARG0 (p2 / person
                              :ARG1-of (l2 / liberal-02))
                        :location (d / discussion
                              :mod (t5 / this))
                        :mod (a2 / as-usual)))
            :op2 (o / obligate-01
                  :ARG1 y
                  :ARG2 c2))
      :ARG1 (m / make-up-10
            :ARG0 (y / you)
            :ARG1 (t3 / that)
            :mod (j / just)
            :purpose (c2 / change-01
                  :ARG0 y
                  :ARG1 (s / subject))))",gpt4,ldc_slang_000_para
ldc_dfb_training_00315,ldc_slang_000,0,You just made that up to change the subject because you knew the liberals were losing in this thread (as usual) and you had to change the subject.,You just made that up to change the subject because you knew the liberals were losing in this piece of yarn (as usual) and you had to change the subject.,"(c / cause-01
      :ARG0 (a / and
            :op1 (k / know-01
                  :ARG0 y
                  :ARG1 (l / lose-03
                        :ARG0 (p2 / person
                              :ARG1-of (l2 / liberal-02))
                        :location (t4 / thread
                              :mod (t5 / this))
                        :mod (a2 / as-usual)))
            :op2 (o / obligate-01
                  :ARG1 y
                  :ARG2 c2))
      :ARG1 (m / make-up-10
            :ARG0 (y / you)
            :ARG1 (t3 / that)
            :mod (j / just)
            :purpose (c2 / change-01
                  :ARG0 y
                  :ARG1 (s / subject))))
","(c / cause-01
      :ARG0 (a / and
            :op1 (k / know-01
                  :ARG0 y
                  :ARG1 (l / lose-03
                        :ARG0 (p2 / person
                              :ARG1-of (l2 / liberal-02))
                        :location (y4 / yarn
                              :mod (t5 / this))
                        :mod (a2 / as-usual)))
            :op2 (o / obligate-01
                  :ARG1 y
                  :ARG2 c2))
      :ARG1 (m / make-up-10
            :ARG0 (y / you)
            :ARG1 (t3 / that)
            :mod (j / just)
            :purpose (c2 / change-01
                  :ARG0 y
                  :ARG1 (s / subject))))","(c / cause-01
      :ARG0 (a / and
            :op1 (k / know-01
                  :ARG0 y
                  :ARG1 (l / lose-03
                        :ARG0 (p2 / person
                              :ARG1-of (l2 / liberal-02))
                        :location (y4 / yarn
                              :mod (t5 / this))
                        :mod (a2 / as-usual)))
            :op2 (o / obligate-01
                  :ARG1 y
                  :ARG2 c2))
      :ARG1 (m / make-up-10
            :ARG0 (y / you)
            :ARG1 (t3 / that)
            :mod (j / just)
            :purpose (c2 / change-01
                  :ARG0 y
                  :ARG1 (s / subject))))","(c / cause-01
      :ARG0 (a / and
            :op1 (k / know-01
                  :ARG0 y
                  :ARG1 (l / lose-03
                        :ARG0 (p2 / person
                              :ARG1-of (l2 / liberal-02))
                        :location (p / piece-of-yarn
                              :mod (t5 / this))
                        :mod (a2 / as-usual)))
            :op2 (o / obligate-01
                  :ARG1 y
                  :ARG2 c2))
      :ARG1 (m / make-up-10
            :ARG0 (y / you)
            :ARG1 (t3 / that)
            :mod (j / just)
            :purpose (c2 / change-01
                  :ARG0 y
                  :ARG1 (s / subject)
                  )))",gpt4,ldc_slang_000_nonpara
ldc_bolt_training_00043,ldc_slang_001,1,"Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let alone the guys carrying the torch.","Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, not to mention the guys carrying the torch.","(c / contrast-01
      :ARG1 (g / go-back-19
            :ARG1 (i / i)
            :purpose (c2 / check-out-05
                  :ARG0 i
                  :ARG1 (r / relay-02
                        :ARG2 (t / torch)))
            :time (d / date-entity
                  :dayperiod (a2 / afternoon)
                  :mod (y / yesterday)))
      :ARG2 (p / possible-01 :polarity -
            :ARG1 (s / see-01
                  :ARG1 (a / and
                        :op1 (f / flame
                              :mod (e / even))
                        :op2 (g2 / guy
                              :mod (l / let-alone)
                              :ARG0-of (c3 / carry-01
                                    :ARG1 t))))
            :mod (p2 / practical)))
",,"(c / contrast-01
      :ARG1 (g / go-back-19
            :ARG1 (i / i)
            :purpose (c2 / check-out-05
                  :ARG0 i
                  :ARG1 (r / relay-02
                        :ARG2 (t / torch)))
            :time (d / date-entity
                  :dayperiod (a2 / afternoon)
                  :mod (y / yesterday)))
      :ARG2 (p / possible-01 :polarity -
            :ARG1 (s / see-01
                  :ARG1 (a / and
                        :op1 (f / flame
                              :mod (e / even))
                        :op2 (g2 / guy
                              :mod (n / not-to-mention)
                              :ARG0-of (c3 / carry-01
                                    :ARG1 t))))
            :mod (p2 / practical)))","(c / contrast-01
      :ARG1 (g / go-back-19
            :ARG1 (i / i)
            :purpose (c2 / check-out-05
                  :ARG0 i
                  :ARG1 (r / relay-02
                        :ARG2 (t / torch)))
            :time (d / date-entity
                  :dayperiod (a2 / afternoon)
                  :mod (y / yesterday)))
      :ARG2 (p / possible-01 :polarity -
            :ARG1 (s / see-01
                  :ARG1 (a / and
                        :op1 (f / flame
                              :mod (e / even))
                        :op2 (g2 / guy
                              :mod (l / let-alone)
                              :ARG0-of (c3 / carry-01
                                    :ARG1 t))))
            :mod (p2 / practical)))",gpt4,ldc_slang_001_para
ldc_bolt_training_00043,ldc_slang_001,0,"Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let alone the guys carrying the torch.","Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let single the guys carrying the torch.","(c / contrast-01
      :ARG1 (g / go-back-19
            :ARG1 (i / i)
            :purpose (c2 / check-out-05
                  :ARG0 i
                  :ARG1 (r / relay-02
                        :ARG2 (t / torch)))
            :time (d / date-entity
                  :dayperiod (a2 / afternoon)
                  :mod (y / yesterday)))
      :ARG2 (p / possible-01 :polarity -
            :ARG1 (s / see-01
                  :ARG1 (a / and
                        :op1 (f / flame
                              :mod (e / even))
                        :op2 (g2 / guy
                              :mod (l / let-alone)
                              :ARG0-of (c3 / carry-01
                                    :ARG1 t))))
            :mod (p2 / practical)))
","(c / contrast-01
      :ARG1 (g / go-back-19
            :ARG1 (i / i)
            :purpose (c2 / check-out-05
                  :ARG0 i
                  :ARG1 (r / relay-02
                        :ARG2 (t / torch)))
            :time (d / date-entity
                  :dayperiod (a2 / afternoon)
                  :mod (y / yesterday)))
      :ARG2 (p / possible-01 :polarity -
            :ARG1 (s / see-01
                  :ARG1 (a / and
                        :op1 (f / flame
                              :mod (e / even))
                        :op2 (g2 / guy
                              :mod (s2 / single)
                              :ARG0-of (c3 / carry-01
                                    :ARG1 t))))
            :mod (p2 / practical)))","(c / contrast-01
      :ARG1 (g / go-back-19
            :ARG1 (i / i)
            :purpose (c2 / check-out-05
                  :ARG0 i
                  :ARG1 (r / relay-02
                        :ARG2 (t / torch)))
            :time (d / date-entity
                  :dayperiod (a2 / afternoon)
                  :mod (y / yesterday)))
      :ARG2 (p / possible-01 :polarity -
            :ARG1 (s / see-01
                  :ARG1 (a / and
                        :op1 (f / flame
                              :mod (e / even))
                        :op2 (g2 / guy
                              :mod (s2 / single)
                              :ARG0-of (c3 / carry-01
                                    :ARG1 t))))
            :mod (p2 / practical)))","(c / contrast-01
      :ARG1 (g / go-back-19
            :ARG1 (i / i)
            :purpose (c2 / check-out-05
                  :ARG0 i
                  :ARG1 (r / relay-02
                        :ARG2 (t / torch)))
            :time (d / date-entity
                  :dayperiod (a2 / afternoon)
                  :mod (y / yesterday)))
      :ARG2 (p / possible-01 :polarity -
            :ARG1 (s / see-01
                  :ARG1 (a / and
                        :op1 (f / flame
                              :mod (e / even))
                        :op2 (g2 / guy
                              :mod (l / let-single)
                              :ARG0-of (c3 / carry-01
                                    :ARG1 t))))
            :mod (p2 / practical)))",gpt4,ldc_slang_001_nonpara
ldc_dfa_test_00110,ldc_slang_002,1,"When they start to realise that you're not going to bend over backwards for them, they'll start respecting you more.","When they start to realise that you're not going to go out of your way to please them, they'll start respecting you more.","(s / start-01
      :ARG0 (t / they)
      :ARG1 (r / respect-01
            :ARG0 t
            :ARG1 (y / you)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / more)))
      :time (s2 / start-01
            :ARG0 t
            :ARG1 (r2 / realize-01
                  :ARG0 t
                  :ARG1 (b / bend-01 :polarity -
                        :ARG1 y
                        :mod (o / over)
                        :direction (b2 / backwards)
                        :beneficiary t))))
","(s / start-01
      :ARG0 (t / they)
      :ARG1 (r / respect-01
            :ARG0 t
            :ARG1 (y / you)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / more)))
      :time (s2 / start-01
            :ARG0 t
            :ARG1 (r2 / realize-01
                  :ARG0 t
                  :ARG1 (g / go-02 :polarity -
                        :ARG0 y
                        :ARG1 (o / out)
                        :ARG1-of (w / way)
                        :purpose (p / please-01
                              :ARG0 y
                              :ARG1 t)))))","(s / start-01
      :ARG0 (t / they)
      :ARG1 (r / respect-01
            :ARG0 t
            :ARG1 (y / you)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / more)))
      :time (s2 / start-01
            :ARG0 t
            :ARG1 (r2 / realize-01
                  :ARG0 t
                  :ARG1 (g / go-02 :polarity -
                        :ARG0 y
                        :ARG1 (o / out)
                        :ARG1-of (w / way)
                        :purpose (p / please-01
                              :ARG0 y
                              :ARG1 t)))))","(s / start-01
      :ARG0 (t / they)
      :ARG1 (r / respect-01
            :ARG0 t
            :ARG1 (y / you)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / more)))
      :time (s2 / start-01
            :ARG0 t
            :ARG1 (r2 / realize-01
                  :ARG0 t
                  :ARG1 (g / go-01
                        :ARG0 you
                        :ARG1 (w / way)
                        :ARG2 (p / please-01
                              :ARG0 you
                              :ARG1 (t2 / them))))))",gpt4,ldc_slang_002_para
ldc_dfa_test_00110,ldc_slang_002,0,"When they start to realise that you're not going to bend over backwards for them, they'll start respecting you more.","When they start to realise that you're not going to contort your body for them, they'll start respecting you more.","(s / start-01
      :ARG0 (t / they)
      :ARG1 (r / respect-01
            :ARG0 t
            :ARG1 (y / you)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / more)))
      :time (s2 / start-01
            :ARG0 t
            :ARG1 (r2 / realize-01
                  :ARG0 t
                  :ARG1 (b / bend-01 :polarity -
                        :ARG1 y
                        :mod (o / over)
                        :direction (b2 / backwards)
                        :beneficiary t))))
","(s / start-01
      :ARG0 (t / they)
      :ARG1 (r / respect-01
            :ARG0 t
            :ARG1 (y / you)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / more)))
      :time (s2 / start-01
            :ARG0 t
            :ARG1 (r2 / realize-01
                  :ARG0 t
                  :ARG1 (c / contort-01 :polarity -
                        :ARG1 (b / body)
                        :ARG0 y
                        :beneficiary t))))","(s / start-01
      :ARG0 (t / they)
      :ARG1 (r / respect-01
            :ARG0 t
            :ARG1 (y / you)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / more)))
      :time (s2 / start-01
            :ARG0 t
            :ARG1 (r2 / realize-01
                  :ARG0 t
                  :ARG1 (c / contort-01 :polarity -
                        :ARG1 (b / body)
                        :ARG0 y
                        :beneficiary t))))","(s / start-01
      :ARG0 (t / they)
      :ARG1 (r / respect-01
            :ARG0 t
            :ARG1 (y / you)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / more)))
      :time (s2 / start-01
            :ARG0 t
            :ARG1 (r2 / realize-01
                  :ARG0 t
                  :ARG1 (c / contort-01
                        :ARG0 y
                        :ARG1 (b / body)
                        :ARG1-of (f / for
                              :ARG0 t)))))",gpt4,ldc_slang_002_nonpara
ldc_dfb_training_15152,ldc_slang_003,1,We pay our troops and civilian employees/contractors a hell of a lot more than other countries.,We pay our troops and civilian employees/contractors considerably more than other countries.,"(p / pay-01
      :ARG0 (w / we)
      :ARG1 (m2 / military
            :poss w)
      :ARG2 (a / and
            :op1 (t / troop)
            :op2 (s / slash
                  :op1 (p2 / person
                        :ARG1-of (e / employ-01))
                  :op2 (p3 / person
                        :ARG0-of (c2 / contract-02))
                  :mod (c3 / civilian))
            :poss w)
      :ARG1-of (h2 / have-quant-91
            :ARG3 (m / more
                  :quant (l / lot
                        :mod (h / hell)))
            :ARG4 (p4 / pay-01
                  :ARG0 (c / country
                        :mod (o / other))
                  :ARG2 a)))
","(p / pay-01
      :ARG0 (w / we)
      :ARG1 (m2 / military
            :poss w)
      :ARG2 (a / and
            :op1 (t / troop)
            :op2 (s / slash
                  :op1 (p2 / person
                        :ARG1-of (e / employ-01))
                  :op2 (p3 / person
                        :ARG0-of (c2 / contract-02))
                  :mod (c3 / civilian))
            :poss w)
      :ARG1-of (h2 / have-quant-91
            :ARG3 (m / more
                  :quant (c4 / considerable))
            :ARG4 (p4 / pay-01
                  :ARG0 (c / country
                        :mod (o / other))
                  :ARG2 a)))","(p / pay-01
      :ARG0 (w / we)
      :ARG1 (m2 / military
            :poss w)
      :ARG2 (a / and
            :op1 (t / troop)
            :op2 (s / slash
                  :op1 (p2 / person
                        :ARG1-of (e / employ-01))
                  :op2 (p3 / person
                        :ARG0-of (c2 / contract-02))
                  :mod (c3 / civilian))
            :poss w)
      :ARG1-of (h2 / have-quant-91
            :ARG3 (m / more
                  :quant (c4 / considerable))
            :ARG4 (p4 / pay-01
                  :ARG0 (c / country
                        :mod (o / other))
                  :ARG2 a)))","(p / pay-01
      :ARG0 (w / we)
      :ARG1 (m2 / military
            :poss w)
      :ARG2 (a / and
            :op1 (t / troop)
            :op2 (s / slash
                  :op1 (p2 / person
                        :ARG1-of (e / employ-01))
                  :op2 (p3 / person
                        :ARG0-of (c2 / contract-02))
                  :mod (c3 / civilian))
            :poss w)
      :ARG1-of (h2 / have-quant-91
            :ARG3 (m / more
                  :quant (c4 / considerably))
            :ARG4 (p4 / pay-01
                  :ARG0 (c / country
                        :mod (o / other))
                  :ARG2 a)))",gpt4,ldc_slang_003_para
ldc_dfb_training_15152,ldc_slang_003,0,We pay our troops and civilian employees/contractors a hell of a lot more than other countries.,We pay our troops and civilian employees/contractors an inferno of a lot more than other countries.,"(p / pay-01
      :ARG0 (w / we)
      :ARG1 (m2 / military
            :poss w)
      :ARG2 (a / and
            :op1 (t / troop)
            :op2 (s / slash
                  :op1 (p2 / person
                        :ARG1-of (e / employ-01))
                  :op2 (p3 / person
                        :ARG0-of (c2 / contract-02))
                  :mod (c3 / civilian))
            :poss w)
      :ARG1-of (h2 / have-quant-91
            :ARG3 (m / more
                  :quant (l / lot
                        :mod (h / hell)))
            :ARG4 (p4 / pay-01
                  :ARG0 (c / country
                        :mod (o / other))
                  :ARG2 a)))
","(p / pay-01
      :ARG0 (w / we)
      :ARG1 (m2 / military
            :poss w)
      :ARG2 (a / and
            :op1 (t / troop)
            :op2 (s / slash
                  :op1 (p2 / person
                        :ARG1-of (e / employ-01))
                  :op2 (p3 / person
                        :ARG0-of (c2 / contract-02))
                  :mod (c3 / civilian))
            :poss w)
      :ARG1-of (h2 / have-quant-91
            :ARG3 (m / more
                  :quant (l / lot
                        :mod (i / inferno)))
            :ARG4 (p4 / pay-01
                  :ARG0 (c / country
                        :mod (o / other))
                  :ARG2 a)))","(p / pay-01
      :ARG0 (w / we)
      :ARG1 (m2 / military
            :poss w)
      :ARG2 (a / and
            :op1 (t / troop)
            :op2 (s / slash
                  :op1 (p2 / person
                        :ARG1-of (e / employ-01))
                  :op2 (p3 / person
                        :ARG0-of (c2 / contract-02))
                  :mod (c3 / civilian))
            :poss w)
      :ARG1-of (h2 / have-quant-91
            :ARG3 (m / more
                  :quant (l / lot
                        :mod (i / inferno)))
            :ARG4 (p4 / pay-01
                  :ARG0 (c / country
                        :mod (o / other))
                  :ARG2 a)))","(p / pay-01
      :ARG0 (w / we)
      :ARG1 (m2 / military
            :poss w)
      :ARG2 (a / and
            :op1 (t / troop)
            :op2 (s / slash
                  :op1 (p2 / person
                        :ARG1-of (e / employ-01))
                  :op2 (p3 / person
                        :ARG0-of (c2 / contract-02))
                  :mod (c3 / civilian))
            :poss w)
      :ARG1-of (h2 / have-quant-91
            :ARG3 (m / more
                  :quant (l / lot
                        :mod (i / inferno)))
            :ARG4 (p4 / pay-01
                  :ARG0 (c / country
                        :mod (o / other))
                  :ARG2 a)))",gpt4,ldc_slang_003_nonpara
ldc_dfb_training_01184,ldc_slang_004,1,"Unlike partisan boobs I don't discount what's said simply because of the network, newspaper, or website it was said on.","Unlike partisan individuals who lack judgment I don't discount what's said simply because of the network, newspaper, or website it was said on.","(d / discount-02 :polarity -
      :ARG0 (i / i)
      :ARG1 (t / thing
            :ARG1-of (s / say-01))
      :ARG1-of (c / contrast-01
            :ARG2 (b / boob
                  :mod (p / partisan)))
      :ARG1-of (c2 / cause-01
            :ARG0 (o / or
                  :op1 (n / network)
                  :op2 (n2 / newspaper)
                  :op3 (w / website)
                  :medium-of (s2 / say-01
                        :ARG1 t))
            :mod (s3 / simple)))
","(i / individual
      :mod (p / partisan)
      :ARG1-of (l / lack-01
            :ARG1 (j / judgment)))
(d / discount-02 :polarity -
      :ARG0 (i / i)
      :ARG1 (t / thing
            :ARG1-of (s / say-01))
      :ARG1-of (c / contrast-01
            :ARG2 i)
      :ARG1-of (c2 / cause-01
            :ARG0 (o / or
                  :op1 (n / network)
                  :op2 (n2 / newspaper)
                  :op3 (w / website)
                  :medium-of (s2 / say-01
                        :ARG1 t))
            :mod (s3 / simple)))","(i / individual
      :mod (p / partisan)
      :ARG1-of (l / lack-01
            :ARG1 (j / judgment)))
(d / discount-02 :polarity -
      :ARG0 (i / i)
      :ARG1 (t / thing
            :ARG1-of (s / say-01))
      :ARG1-of (c / contrast-01
            :ARG2 i)
      :ARG1-of (c2 / cause-01
            :ARG0 (o / or
                  :op1 (n / network)
                  :op2 (n2 / newspaper)
                  :op3 (w / website)
                  :medium-of (s2 / say-01
                        :ARG1 t))
            :mod (s3 / simple)))","(d / discount-02
      :ARG0 (i / i)
      :ARG1 (t / thing
            :ARG1-of (s / say-01))
      :ARG1-of (c / contrast-01
            :ARG2 (i2 / individual
                  :mod (p / partisan)
                  :mod (l / lack-01
                        :ARG1 i2
                        :ARG2 (j / judgment))))
      :ARG1-of (c2 / cause-01
            :ARG0 (o / or
                  :op1 (n / network)
                  :op2 (n2 / newspaper)
                  :op3 (w / website)
                  :medium-of (s2 / say-01
                        :ARG1 t))
            :mod (s3 / simple)))",gpt4,ldc_slang_004_para
ldc_dfb_training_01184,ldc_slang_004,0,"Unlike partisan boobs I don't discount what's said simply because of the network, newspaper, or website it was said on.","Unlike partisan breasts I don't discount what's said simply because of the network, newspaper, or website it was said on.","(d / discount-02 :polarity -
      :ARG0 (i / i)
      :ARG1 (t / thing
            :ARG1-of (s / say-01))
      :ARG1-of (c / contrast-01
            :ARG2 (b / boob
                  :mod (p / partisan)))
      :ARG1-of (c2 / cause-01
            :ARG0 (o / or
                  :op1 (n / network)
                  :op2 (n2 / newspaper)
                  :op3 (w / website)
                  :medium-of (s2 / say-01
                        :ARG1 t))
            :mod (s3 / simple)))
","(d / discount-02 :polarity -
      :ARG0 (i / i)
      :ARG1 (t / thing
            :ARG1-of (s / say-01))
      :ARG1-of (c / contrast-01
            :ARG2 (b / breast
                  :mod (p / partisan)))
      :ARG1-of (c2 / cause-01
            :ARG0 (o / or
                  :op1 (n / network)
                  :op2 (n2 / newspaper)
                  :op3 (w / website)
                  :medium-of (s2 / say-01
                        :ARG1 t))
            :mod (s3 / simple)))","(d / discount-02 :polarity -
      :ARG0 (i / i)
      :ARG1 (t / thing
            :ARG1-of (s / say-01))
      :ARG1-of (c / contrast-01
            :ARG2 (b / breast
                  :mod (p / partisan)))
      :ARG1-of (c2 / cause-01
            :ARG0 (o / or
                  :op1 (n / network)
                  :op2 (n2 / newspaper)
                  :op3 (w / website)
                  :medium-of (s2 / say-01
                        :ARG1 t))
            :mod (s3 / simple)))","(d / discount-02
      :ARG0 (i / i)
      :ARG1 (t / thing
            :ARG1-of (s / say-01))
      :ARG1-of (c / contrast-01
            :ARG2 (b / breast
                  :mod (p / partisan)))
      :ARG1-of (c2 / cause-01
            :ARG0 (o / or
                  :op1 (n / network)
                  :op2 (n2 / newspaper)
                  :op3 (w / website)
                  :medium-of (s2 / say-01
                        :ARG1 t))
            :mod (s3 / simple)))",gpt4,ldc_slang_004_nonpara
