id,input_json,ground_truth
ldc_entity_recog_000,"{""text"": ""In news overseas, at a United Nations environmental summit in Johannesburg, South Africa, representatives from 122 nations signed an agreement banning the use of 12 highly toxic chemicals."", ""tok"": ""In news overseas , at a United Nations environmental summit in Johannesburg , South Africa , representatives from 122 nations signed an agreement banning the use of 12 highly toxic chemicals ."", ""tok_labeled"": ""In news overseas , at a <ENAMEX TYPE=\""ORG\"">United Nations</ENAMEX> environmental summit in <ENAMEX TYPE=\""GPE\"">Johannesburg</ENAMEX> , <ENAMEX TYPE=\""GPE\"">South Africa</ENAMEX> , representatives from <ENAMEX TYPE=\""CARDINAL\"">122</ENAMEX> nations signed an agreement banning the use of <ENAMEX TYPE=\""CARDINAL\"">12</ENAMEX> highly toxic chemicals .""}",United Nations;Johannesburg;South Africa;122;12
ldc_entity_recog_001,"{""text"": ""When it 's time for their biannual powwow , the nation 's manufacturing titans typically jet off to the sunny confines of resort towns like Boca Raton and Hot Springs ."", ""tok"": ""When it 's time for their biannual powwow , the nation 's manufacturing titans typically jet off to the sunny confines of resort towns like Boca Raton and Hot Springs ."", ""tok_labeled"": ""When it 's time for their <ENAMEX TYPE=\""DATE\"">biannual</ENAMEX> powwow , the nation 's manufacturing titans typically jet off to the sunny confines of resort towns like <ENAMEX TYPE=\""GPE\"">Boca Raton</ENAMEX> and <ENAMEX TYPE=\""GPE\"">Hot Springs</ENAMEX> .""}",biannual;Boca Raton;Hot Springs
ldc_entity_recog_002,"{""text"": ""Not this year ."", ""tok"": ""Not this year ."", ""tok_labeled"": ""Not <ENAMEX TYPE=\""DATE\"">this year</ENAMEX> .""}",this year
ldc_entity_recog_003,"{""text"": ""The National Association of Manufacturers settled on the Hoosier capital of Indianapolis for its fall board meeting ."", ""tok"": ""The National Association of Manufacturers settled on the Hoosier capital of Indianapolis for its fall board meeting ."", ""tok_labeled"": ""<ENAMEX TYPE=\""ORG\"">The National Association of Manufacturers</ENAMEX> settled on the <ENAMEX TYPE=\""NORP\"">Hoosier</ENAMEX> capital of <ENAMEX TYPE=\""GPE\"">Indianapolis</ENAMEX> for its <ENAMEX TYPE=\""DATE\"">fall</ENAMEX> board meeting .""}",The National Association of Manufacturers;Hoosier;Indianapolis;fall
ldc_entity_recog_004,"{""text"": ""The idea , of course : to prove to 125 corporate decision makers that the buckle on the Rust Belt is n't so rusty after all , that it 's a good place for a company to expand ."", ""tok"": ""The idea , of course : to prove to 125 corporate decision makers that the buckle on the Rust Belt is n't so rusty after all , that it 's a good place for a company to expand ."", ""tok_labeled"": ""The idea , of course : to prove to <ENAMEX TYPE=\""CARDINAL\"">125</ENAMEX> corporate decision makers that the buckle on <ENAMEX TYPE=\""LOC\"">the Rust Belt</ENAMEX> is n't so rusty after all , that it 's a good place for a company to expand .""}",125;the Rust Belt
ldc_entity_recog_005,"{""text"": ""On the receiving end of the message were officials from giants like Du Pont and Maytag , along with lesser knowns like Trojan Steel and the Valley Queen Cheese Factory ."", ""tok"": ""On the receiving end of the message were officials from giants like Du Pont and Maytag , along with lesser knowns like Trojan Steel and the Valley Queen Cheese Factory ."", ""tok_labeled"": ""On the receiving end of the message were officials from giants like <ENAMEX TYPE=\""ORG\"">Du Pont</ENAMEX> and <ENAMEX TYPE=\""ORG\"">Maytag</ENAMEX> , along with lesser knowns like <ENAMEX TYPE=\""ORG\"">Trojan Steel</ENAMEX> and <ENAMEX TYPE=\""ORG\"">the Valley Queen Cheese Factory</ENAMEX> .""}",Du Pont;Maytag;Trojan Steel;the Valley Queen Cheese Factory
ldc_entity_recog_006,"{""text"": ""For starters , the executives joined Mayor William H. Hudnut III for an evening of the Indianapolis Symphony Orchestra and a guest pianist - comedian Victor Borge ."", ""tok"": ""For starters , the executives joined Mayor William H. Hudnut III for an evening of the Indianapolis Symphony Orchestra and a guest pianist - comedian Victor Borge ."", ""tok_labeled"": ""For starters , the executives joined Mayor <ENAMEX TYPE=\""PERSON\"">William H. Hudnut III</ENAMEX> for <ENAMEX TYPE=\""TIME\"">an evening</ENAMEX> of <ENAMEX TYPE=\""ORG\"">the Indianapolis Symphony Orchestra</ENAMEX> and a guest pianist - comedian <ENAMEX TYPE=\""PERSON\"">Victor Borge</ENAMEX> .""}",William H. Hudnut III;an evening;the Indianapolis Symphony Orchestra;Victor Borge
ldc_entity_recog_007,"{""text"": ""The next morning , with a police escort , busloads of executives and their wives raced to the Indianapolis Motor Speedway , unimpeded by traffic or red lights ."", ""tok"": ""The next morning , with a police escort , busloads of executives and their wives raced to the Indianapolis Motor Speedway , unimpeded by traffic or red lights ."", ""tok_labeled"": ""<ENAMEX TYPE=\""TIME\"">The next morning</ENAMEX> , with a police escort , busloads of executives and their wives raced to <ENAMEX TYPE=\""FAC\"">the Indianapolis Motor Speedway</ENAMEX> , unimpeded by traffic or red lights .""}",The next morning;the Indianapolis Motor Speedway
ldc_entity_recog_008,"{""text"": ""Then , in the guests ' honor , the speedway hauled out four drivers , crews and even the official Indianapolis 500 announcer for a 10 - lap exhibition race ."", ""tok"": ""Then , in the guests ' honor , the speedway hauled out four drivers , crews and even the official Indianapolis 500 announcer for a 10 - lap exhibition race ."", ""tok_labeled"": ""Then , in the guests ' honor , the speedway hauled out <ENAMEX TYPE=\""CARDINAL\"">four</ENAMEX> drivers , crews and even the official <ENAMEX TYPE=\""EVENT\"">Indianapolis 500</ENAMEX> announcer for a <ENAMEX TYPE=\""CARDINAL\"">10</ENAMEX> - lap exhibition race .""}",four;Indianapolis 500;10
ldc_entity_recog_009,"{""text"": ""No dummies , the drivers pointed out they still had space on their machines for another sponsor 's name or two ."", ""tok"": ""No dummies , the drivers pointed out they still had space on their machines for another sponsor 's name or two ."", ""tok_labeled"": ""No dummies , the drivers pointed out they still had space on their machines for another sponsor 's name or <ENAMEX TYPE=\""CARDINAL\"">two</ENAMEX> .""}",two
